"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Netilmicin","10 mcg","15","12",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Tobramycin",NA,"2","4",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Tobramycin","10 mcg","17","14",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"E. coli",NA,"Eravacycline",NA,"0.5","0.5",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"E. coli",NA,"Eravacycline","IP mcg","IP","IP",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"E. coli and C. koseri",NA,"Tigecycline",NA,"0.5","0.5","[2] For tigecycline broth microdilution MIC determination, the medium must be prepared fresh on the day of use. | [3] For other Enterobacterales, the activity of tigecycline varies from insufficient in Proteus spp., Morganella morganii and Providencia spp. to variable in other species. For more information, see http://www.eucast.org/guidance_documents/.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"E. coli and C. koseri",NA,"Tigecycline","15 mcg","18","18","[A] For other Enterobacterales, the activity of tigecycline varies from insufficient in Proteus spp., Morganella morganii and Providencia spp. to variable in other species. For more information, see http://www.eucast.org/guidance_documents/. | [B] Zone diameter breakpoints validated for E. coli only. For C.koseri, use an MIC method.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Chloramphenicol",NA,"8","8",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Chloramphenicol","30 mcg","17","17",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Colistin",NA,"2","2","[1] Colistin MIC determination should be performed with broth microdilution. Quality control must be performed with both a susceptible QC strain (E. coli ATCC 25922 or P. aeruginosa ATCC 27853) and the colistin resistant E. coli NCTC 13846 (mcr-1 positive).","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Colistin",NA,"Note","Note","[A] Use an MIC method (broth microdilution only). | [1] Colistin MIC determination should be performed with broth microdilution. Quality control must be performed with both a susceptible QC strain (E. coli ATCC 25922 or P. aeruginosa ATCC 27853) and the colistin resistant E. coli NCTC 13846 (mcr-1 positive).","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Fosfomycin iv",NA,"32","32","[2] Agar dilution is the reference method for fosfomycin. MICs must be determined in the presence of glucose-6-phosphate (25 mg/L in the medium). Follow the manufacturers' instructions for commercial systems.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Fosfomycin iv","200 mcg","24","24","[C] Zone diameter breakpoints apply to E. coli only. For other Enterobacterales, use an MIC method. | [D] Ignore isolated colonies within the inhibition zone (see pictures below).","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Fosfomycin oral  (uncomplicated UTI only)",NA,"32","32","[2] Agar dilution is the reference method for fosfomycin. MICs must be determined in the presence of glucose-6-phosphate (25 mg/L in the medium). Follow the manufacturers' instructions for commercial systems.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Fosfomycin oral  (uncomplicated UTI only)","200 mcg","24","24","[C] Zone diameter breakpoints apply to E. coli only. For other Enterobacterales, use an MIC method. | [D] Ignore isolated colonies within the inhibition zone (see pictures below).","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"E. coli",NA,"Nitrofurantoin (uncomplicated UTI only)",NA,"64","64",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"E. coli",NA,"Nitrofurantoin (uncomplicated UTI only)","100 mcg","11","11",NA,"Enterobacterales"
