"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Brucella melitensis",NA,"Rifampicin",NA,"2","2","[1] For information on how to use breakpoints in brackets, see https://www.eucast.org/eucastguidancedocuments/.","B.melitensis "
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Brucella melitensis",NA,"Rifampicin","5 mcg","20","20","[A] For information on how to use breakpoints in brackets, see https://www.eucast.org/eucastguidancedocuments/. | [B] Examine zones carefully for colonies close to the zone edge. Colonies should be taken into account when reading.","B.melitensis "
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Brucella melitensis",NA,"Trimethoprim-sulfamethoxazole",NA,"0.125","0.125","[2] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","B.melitensis "
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Brucella melitensis",NA,"Trimethoprim-sulfamethoxazole","1.25/23.75 mcg","29","29","[C] Read the obvious zone edges and disregard haze or faint growth within the inhibition zone. | [2] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","B.melitensis "
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Burkholderia pseudomallei",NA,"Amoxicillin-clavulanic acid",NA,"0.001","8","[1] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L.","B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Burkholderia pseudomallei",NA,"Amoxicillin-clavulanic acid","20/10 mcg","50","22",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Burkholderia pseudomallei",NA,"Ceftazidime",NA,"0.001","8",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Burkholderia pseudomallei",NA,"Ceftazidime","10 mcg","50","18",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Burkholderia pseudomallei",NA,"Imipenem",NA,"2","2",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Burkholderia pseudomallei",NA,"Imipenem","10 mcg","29","29",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Burkholderia pseudomallei",NA,"Meropenem",NA,"2","2",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Burkholderia pseudomallei",NA,"Meropenem","10 mcg","24","24",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Burkholderia pseudomallei",NA,"Doxycycline",NA,"0.001","2",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Burkholderia pseudomallei",NA,"Doxycycline",NA,"Note","Note","[A] Isolates categorised as screen negative can be reported ""susceptible increased exposure"" (I) to doxycyline. Isolates categorised as screen positive can be reported resistant to doxycycline.","B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Burkholderia pseudomallei",NA,"Tetracycline (screen only)","30 mcg","23","23","[A] Isolates categorised as screen negative can be reported ""susceptible increased exposure"" (I) to doxycyline. Isolates categorised as screen positive can be reported resistant to doxycycline.","B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Burkholderia pseudomallei",NA,"Chloramphenicol",NA,"0.001","8",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Burkholderia pseudomallei",NA,"Chloramphenicol","30 mcg","50","22",NA,"B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Burkholderia pseudomallei",NA,"Trimethoprim-sulfamethoxazole",NA,"0.001","4","[1] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK",NA,"Burkholderia pseudomallei",NA,"Trimethoprim-sulfamethoxazole","1.25/23.75 mcg","50","17","[A] There may be growth within the inhibition zone. The density of growth may vary from a fine haze to substantial growth (see pictures below). If any zone edge can be seen, ignore growth within the inhibition zone and read the zone diameter. | [1] Trimethoprim:sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","B.pseudomallei"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Mycobacterium tuberculosis",NA,"Bedaquiline",NA,"0.25","0.25","[1] Breakpoints were not determined with the EUCAST reference method. Therefore they are provisory values that might change according to the results on ongoing studies using the EUCAST reference protocol for MIC determination.","M.tuberculosis"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Mycobacterium tuberculosis",NA,"Delamanid",NA,"0.06","0.06","[1] Breakpoints were not determined with the EUCAST reference method. Therefore they are provisory values that might change according to the results on ongoing studies using the EUCAST reference protocol for MIC determination.","M.tuberculosis"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC",NA,"Mycobacterium tuberculosis",NA,"Pretomanid",NA,"Note","Note","[1] Breakpoints were not determined with the EUCAST reference method. Therefore they are provisory values that might change according to the results on ongoing studies using the EUCAST reference protocol for MIC determination. | [2] A provisional screen value of 2 mg/L is advised according to published MIC data determined with MGIT.","M.tuberculosis"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Enterobacterales",NA,"Gentamicin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Enterobacterales",NA,"Gentamicin","10 mcg","17","17",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Enterobacterales",NA,"Tobramycin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Enterobacterales",NA,"Tobramycin","10 mcg","16","16",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Enterobacterales",NA,"Pefloxacin  (screen only)","5 mcg","24","24","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Enterobacterales",NA,"Ciprofloxacin",NA,"0.125","0.125",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Enterobacterales",NA,"Ciprofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Enterobacterales",NA,"Levofloxacin",NA,"0.25","0.25",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Enterobacterales",NA,"Levofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Enterobacterales",NA,"Ofloxacin",NA,"0.25","0.25",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Enterobacterales",NA,"Ofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Enterobacterales",NA,"Chloramphenicol",NA,"16","16",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Enterobacterales",NA,"Chloramphenicol","30 mcg","17","17",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Enterobacterales",NA,"Colistin (for polymyxin B)",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Enterobacterales",NA,"Neomycin  (framycetin)",NA,"8","8",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Enterobacterales",NA,"Neomycin  (framycetin)","10 mcg","12","12",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","P. aeruginosa",NA,"Gentamicin",NA,"8","8",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","P. aeruginosa",NA,"Gentamicin","10 mcg","15","15",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","P. aeruginosa",NA,"Tobramycin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","P. aeruginosa",NA,"Tobramycin","10 mcg","18","18",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","P. aeruginosa",NA,"Ciprofloxacin",NA,"0.5","0.5",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","P. aeruginosa",NA,"Ciprofloxacin","5 mcg","26","26",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","P. aeruginosa",NA,"Levofloxacin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","P. aeruginosa",NA,"Levofloxacin","5 mcg","18","18",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","P. aeruginosa",NA,"Ofloxacin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","P. aeruginosa",NA,"Colistin (for polymyxin B)",NA,"4","4",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Acinetobacter spp.",NA,"Gentamicin",NA,"4","4",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Acinetobacter spp.",NA,"Gentamicin","10 mcg","17","17",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Acinetobacter spp.",NA,"Tobramycin",NA,"4","4",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Acinetobacter spp.",NA,"Tobramycin","10 mcg","17","17",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Acinetobacter spp.",NA,"Ciprofloxacin",NA,"1","1",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Acinetobacter spp.",NA,"Ciprofloxacin","5 mcg","21","21",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Acinetobacter spp.",NA,"Levofloxacin",NA,"0.5","0.5",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Acinetobacter spp.",NA,"Levofloxacin","5 mcg","23","23",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Acinetobacter spp.",NA,"Ofloxacin",NA,"1","1",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Acinetobacter spp.",NA,"Colistin (for polymyxin B)",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Gentamicin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Gentamicin","10 mcg","18","18",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Tobramycin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Tobramycin","10 mcg","18","18",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Norfloxacin  (screen only)","10 mcg","17","17","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Ciprofloxacin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Ciprofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Levofloxacin",NA,"1","1",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Levofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Ofloxacin",NA,"1","1",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Ofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Chloramphenicol",NA,"16","16",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Chloramphenicol","30 mcg","18","18",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Fusidic acid",NA,"0.5","0.5",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Fusidic acid","10 mcg","23","23",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Neomycin  (framycetin)",NA,"1","1",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Neomycin  (framycetin)","10 mcg","14","14",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Mupirocin",NA,"1","1","[2] Breakpoints for nasal decolonization in carriers of S. aureus, S ≤1, R >1 mg/L (disk diffusion with mupirocin 200 µg disk S ≥30, R <30 mm). For short term suppression of nasal colonization (usually as a perioperative practice) breakpoints of S ≤256, R >256 mg/L (disk diffusion S ≥18 mm, R <18 mm) can be used.","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. aureus",NA,"Mupirocin","200 mcg","30","30","[2] Breakpoints for nasal decolonization in carriers of S. aureus, S ≤1, R >1 mg/L (disk diffusion with mupirocin 200 µg disk S ≥30, R <30 mm). For short term suppression of nasal colonization (usually as a perioperative practice) breakpoints of S ≤256, R >256 mg/L (disk diffusion S ≥18 mm, R <18 mm) can be used.","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. aureus",NA,"Retapamulin",NA,"0.5","0.5",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. pneumoniae",NA,"Norfloxacin  (screen only)","10 mcg","10","10","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. pneumoniae",NA,"Ciprofloxacin",NA,"4","4",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. pneumoniae",NA,"Ciprofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. pneumoniae",NA,"Levofloxacin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. pneumoniae",NA,"Levofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. pneumoniae",NA,"Ofloxacin",NA,"4","4",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. pneumoniae",NA,"Ofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","S. pneumoniae",NA,"Chloramphenicol",NA,"8","8",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","S. pneumoniae",NA,"Chloramphenicol","30 mcg","21","21",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Streptococcus groups A, B, C and G",NA,"Norfloxacin  (screen only)","10 mcg","12","12","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Streptococcus groups A, B, C and G",NA,"Ciprofloxacin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Streptococcus groups A, B, C and G",NA,"Ciprofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Streptococcus groups A, B, C and G",NA,"Levofloxacin",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Streptococcus groups A, B, C and G",NA,"Levofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Streptococcus groups A, B, C and G",NA,"Ofloxacin",NA,"4","4",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Streptococcus groups A, B, C and G",NA,"Ofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Streptococcus groups A, B, C and G",NA,"Chloramphenicol",NA,"8","8",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","Streptococcus groups A, B, C and G",NA,"Chloramphenicol","30 mcg","21","21",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Streptococcus groups A, B, C and G",NA,"Fusidic acid",NA,"32","32",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Streptococcus groups A, B, C and G",NA,"Mupirocin",NA,"0.5","0.5",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","Streptococcus groups A, B, C and G",NA,"Retapamulin",NA,"0.125","0.125",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","H. influenzae",NA,"Gentamicin",NA,"4","4",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","H. influenzae",NA,"Tobramycin",NA,"8","8",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","H. influenzae",NA,"Nalidixic acid  (screen only)","30 mcg","23","23","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","H. influenzae",NA,"Ciprofloxacin",NA,"0.06","0.06",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","H. influenzae",NA,"Ciprofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","H. influenzae",NA,"Levofloxacin",NA,"0.06","0.06",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","H. influenzae",NA,"Levofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","H. influenzae",NA,"Ofloxacin",NA,"0.06","0.06",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","H. influenzae",NA,"Ofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","H. influenzae",NA,"Chloramphenicol",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","H. influenzae",NA,"Chloramphenicol","30 mcg","28","28",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","M. catarrhalis",NA,"Nalidixic acid  (screen only)","30 mcg","23","23","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","M. catarrhalis",NA,"Ciprofloxacin",NA,"0.125","0.125",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","M. catarrhalis",NA,"Ciprofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","M. catarrhalis",NA,"Levofloxacin",NA,"0.125","0.125",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","M. catarrhalis",NA,"Levofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","M. catarrhalis",NA,"Ofloxacin",NA,"0.25","0.25",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","M. catarrhalis",NA,"Ofloxacin","5 mcg","Note","Note","[1] Screening agent for detection of fluoroquinolone resistance (pefloxacin for Enterobacterales, norfloxacin for Gram-positive organisms and nalidixic acid for H. influenzae and M. catarrhalis).","Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","MIC","Topical","M. catarrhalis",NA,"Chloramphenicol",NA,"2","2",NA,"Topical agents"
"EUCAST 2025","15.0","Clinical Breakpoint Tables v. 15.0","human","human","DISK","Topical","M. catarrhalis",NA,"Chloramphenicol","30 mcg","31","31",NA,"Topical agents"
"EUCAST 2026","16.1","Clinical Breakpoint Tables v. 16.1","human","human","MIC",NA,"Enterobacterales",NA,"Ampicillin iv",NA,"8","8","[1] For information on how to implement the new aminopenicillin breakpoints, see https://www.eucast.org/eucastguidancedocuments/.","Enterobacterales"
