Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	12	Microorganisms/infectious agents	Published	09/01/2020	Value set updated based on the September 1, 2020 US Edition of SNOMED CT 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
424462001	Acidilobus aceticus (organism)	Acidilobus aceticus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423547008	Acidimicrobium ferrooxidans (organism)	Acidimicrobium ferrooxidans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
422465000	Acidiphilium acidophilum (organism)	Acidiphilium acidophilum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423060009	Acidiphilium angustum (organism)	Acidiphilium angustum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
426716008	Acidiphilium cryptum (organism)	Acidiphilium cryptum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423681005	Acidiphilium multivorum (organism)	Acidiphilium multivorum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
424261005	Acidiphilium organovorum (organism)	Acidiphilium organovorum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
424433002	Acidiphilium rubrum (organism)	Acidiphilium rubrum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
2379005	Acidipropionibacterium acidipropionici (organism)	Acidipropionibacterium acidipropionici (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
86720000	Acidipropionibacterium jensenii (organism)	Acidipropionibacterium jensenii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
431383004	Acidipropionibacterium microaerophilum (organism)	Acidipropionibacterium microaerophilum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
30087004	Acidipropionibacterium thoenii (organism)	Acidipropionibacterium thoenii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423260003	Acidisphaera rubrifaciens (organism)	Acidisphaera rubrifaciens (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
422552007	Acidithiobacillus albertensis (organism)	Acidithiobacillus albertensis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423056006	Acidithiobacillus caldus (organism)	Acidithiobacillus caldus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
425119002	Acidithiobacillus ferrooxidans (organism)	Acidithiobacillus ferrooxidans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
425013004	Acidithiobacillus thiooxidans (organism)	Acidithiobacillus thiooxidans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
425858009	Acidobacterium capsulatum (organism)	Acidobacterium capsulatum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
427239008	Acidocella aminolytica (organism)	Acidocella aminolytica (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
427268009	Acidocella facilis (organism)	Acidocella facilis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
426111006	Acidomonas methanolica (organism)	Acidomonas methanolica (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413426006	Acidophilic bacteria (organism)	Acidophilic bacteria (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
425910004	Acidothermus cellulolyticus (organism)	Acidothermus cellulolyticus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
427183008	Acidovorax anthurii (organism)	Acidovorax anthurii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
113681007	Acidovorax avenae (organism)	Acidovorax avenae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
113682000	Acidovorax avenae ss avenae (organism)	Acidovorax avenae ss avenae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
