"fullname"	"fullname_new"	"ref"	"prevalence"
"Actinomyces turicensis"	"Schaalia turicensis"	"Wust et al., 1998"	2
"Actinomyces vaccimaxillae"	"Schaalia vaccimaxillae"	"Hall et al., 2003"	2
"Actinoplanes armeniacus"	"Streptomyces armeniacus"	"Kalakoutskii et al., 1964"	2
"Actinoplanes bogoriensis"	"Actinoplanes bogorensis"	"Nurkanto et al., 2016"	2
"Actinoplanes caeruleus"	"Couchioplanes caeruleus"	"Horan et al., 1986"	2
"Actinoplanes minutisporangius"	"Cryptosporangium minutisporangium"	"Ruan et al., 1986"	2
"Actinopolyspora iraqiensis"	"Saccharomonospora iraqiensis"	"Ruan et al., 1994"	2
"Actinopycnidium"	"Streptomyces"	"Krassilnikov, 1962"	2
"Actinopycnidium caeruleum"	"Streptomyces humiferus"	"Krassilnikov, 1962"	
"Actinopycnidium caeruleum"	"Streptomyces anthocyanicus"	"Krassilnikov, 1962"	2
"Actinosporangium"	"Streptomyces"	"Krassilnikov et al., 1961"	2
"Actinosporangium violaceum"	"Streptomyces paradoxus"	"Krassilnikov et al., 1961"	2
"Actinosporangium violaceus"	"Streptomyces paradoxus"	"Krassilnikov et al., 1961"	2
"Actinosporangium vitaminophilum"	"Streptomyces vitaminophilus"	"Shomura et al., 1983"	2
"Actinotalea suaedae"	"Pseudactinotalea suaedae"	"Zhao et al., 2015"	2
"Actinotricha saltans"	"Oxytricha saltans"	"Cohn, 1866"	3
"Actonia tropicalis"	"Candida tropicalis"	"Dodge, 1935"	2
"Acytostelium ellipticum"	"Rostrostelium ellipticum"	"Cavender, 1970"	3
"Adelocyrtis cometa"	"Sethocapsa cometa"	"Pantanelli, 1880"	3
"Adelosina duthiersi"	"Quinqueloculina duthiersi"	"Schlumberger, 1886"	3
"Adelosina linneiana"	"Pseudotriloculina linneiana"	"DOrbigny, 1839"	3
"Aecidium ipomoeae-panduratae"	"Albugo ipomoeae-panduratae"	"Schwein, 1822"	3
"Aedimorphus alboannulatus"	"Aedes alboannulatus"	"Theobald, 1905"	2
"Aedimorphus albotaeniatus"	"Aedes albotaeniatus"	"Theobald, 1903"	2
"Aedimorphus australis"	"Aedes australis"	"Taylor, 1914"	2
"Aegyria angustata"	"Dysteria angustata"	"Claparede et al., 1859"	3
"Aegyria astyla"	"Dysteria astyla"	"Maskell, 1887"	3
"Aegyria distyla"	"Dysteria distyla"	"Maskell, 1887"	3
"Aegyria monostyla"	"Dysteria monostyla"	"Lepsi, 1926"	3
"Aegyriana oliva"	"Aegyria oliva"	"Deroux, 1975"	3
"Aegytia oliva"	"Aegyria oliva"	"Claparede et al., 1859"	3
"Aerococcus sanguicola"	"Aerococcus sanguinicola"	"Lawson et al., 2001"	2
"Aeromonas aquariorum"	"Aeromonas dhakensis"	"Martinez-Murcia et al., 2008"	1
"Aeromonas culicicola"	"Aeromonas veronii"	"Pidiyar et al., 2002"	1
"Aeromonas finlandiensis"	"Aeromonas finlandensis"	"Beaz-Hidalgo et al., 2015"	1
"Aeromonas hydrophila anaerogenes"	"Aeromonas caviae"	"Schubert, 1964"	1
"Aeromonas hydrophila dhakensis"	"Aeromonas dhakensis"	"Huys et al., 2002"	1
"Aeromonas hydrophila proteolytica"	"Vibrio proteolyticus"	"Schubert, 1969"	1
"Aeromonas punctata"	"Aeromonas caviae"	"Snieszko, 1957"	1
"Aeromonas punctata caviae"	"Aeromonas caviae"	"Schubert, 1964"	1
"Aeromonas sharmana"	"Pseudaeromonas sharmana"	"Saha et al., 2006"	1
"Aeromonas trota"	"Aeromonas enteropelogenes"	"Corrig Carnahan et al., 1992"	1
"Aestuariibacter aggregatus"	"Marisediminitalea aggregata"	"Wang et al., 2010"	1
"Aestuariibacter litoralis"	"Aliiglaciecola litoralis"	"Tanaka et al., 2010"	1
"Aestuariicola"	"Lutimonas"	"Yoon et al., 2008"	3
"Aestuariicola saemankumensis"	"Lutimonas saemankumensis"	"Yoon et al., 2008"	3
"Aestuariivita atlantica"	"Pseudaestuariivita atlantica"	"Li et al., 2015"	2
"Aethalium muscorum"	"Fuligo muscorum"	"Schwein, 1832"	3
"Afrophrya camerounensis"	"Anteholosticha camerounensis"	"Foissner et al., 2006"	3
"Agglutinella agglutinans"	"Quinqueloculina agglutinans"	"DOrbigny, 1839"	3
"Agratia entamoebae"	"Sphaerita entamoebae"	"Mol Nov, 2014"	3
"Agrobacterium atlanticum"	"Ruegeria atlantica"	"Ruger et al., 1992"	2
"Agrobacterium ferrugineum"	"Pseudorhodobacter ferrugineus"	"Ruger et al., 1992"	2
"Agrobacterium gelatinovorum"	"Thalassobius gelatinovorus"	"Ruger et al., 1992"	2
"Agrobacterium meteori"	"Ruegeria atlantica"	"Ruger et al., 1992"	2
"Agrobacterium meteori"	"Ruegeria meteori"	"Ruger et al., 1992"	2
"Agrobacterium rhizogenes"	"Rhizobium rhizogenes"	"Conn, 1942"	2
"Agrobacterium stellulatum"	"Stappia stellulata"	"Ruger et al., 1992"	2
"Agrobacterium tumefaciens"	"Agrobacterium radiobacter"	"Conn, 1942"	2
"Agrobacterium vitis"	"Allorhizobium vitis"	"Ophel et al., 1990"	2
"Agromonas"	"Bradyrhizobium"	"Ohta et al., 1985"	2
"Agromonas oligotrophica"	"Bradyrhizobium oligotrophicum"	"Ohta et al., 1985"	2
"Agromyces hippuratus"	"Agromyces fucosus hippuratus"	"Ortiz-Martinez et al., 2004"	2
"Agromyces rhizospherae"	"Agromyces rhizosphaerae"	"Takeuchi et al., 2001"	2
"Ahrensia kieliense"	"Ahrensia kielensis"	"Uchino et al., 1999"	2
"Ajellomyces dermatitidis"	"Blastomyces dermatitidis"	"McDonough et al., 1968"	3
"Ajellomyces griseus"	"Helicocarpus griseus"	"Unter et al., 2002"	3
"Alabamina mitis"	"Alabaminoides mitis"	"Gudina, 1966"	3
"Alabamina tubulifera"	"Asanonella tubulifera"	"Heron-Allen et al., 1915"	3
"Alatipicapora tetrapedis"	"Hinedorcus tetrapedis"	"Kozur et al., 2007"	3
"Albidoferax"	"Albidiferax"	"Ramana et al., 2009"	2
"Albidoferax ferrireducens"	"Albidiferax ferrireducens"	"Ramana et al., 2009"	2
"Albidovulum xiamenense"	"Meinhardsimonia xiamenensis"	"Yin et al., 2012"	2
"Albugo centaurii"	"Pustula centaurii"	"Cif et al., 1955"	3
"Albugo chardiniae"	"Pustula chardiniae"	"Bremer et al., 1947"	3
