"fullname"	"fullname_new"	"ref"	"prevalence"
"Streptobacillus hongkongensis"	"Pseudostreptobacillus hongkongensis"	"Woo et al., 2014"	3
"Streptococcus adjacens"	"Granulicatella adiacens"	"Bouvet et al., 1989"	2
"Streptococcus bovis"	"Streptococcus equinus"	"Orla-Jensen, 1919"	1
"Streptococcus caprinus"	"Streptococcus gallolyticus"	"Brooker et al., 1996"	1
"Streptococcus cecorum"	"Enterococcus cecorum"	"Devriese et al., 1983"	1
"Streptococcus cremoris"	"Lactococcus lactis cremoris"	"Orla-Jensen, 1919"	
"Streptococcus cremoris"	"Lactococcus cremoris"	"Orla-Jensen, 1919"	2
"Streptococcus cricetus"	"Streptococcus criceti"	"Coykendall, 1977"	1
"Streptococcus crista"	"Streptococcus cristatus"	"Handley et al., 1991"	1
"Streptococcus defectivus"	"Abiotrophia defectiva"	"Bouvet et al., 1989"	2
"Streptococcus dentisani"	"Streptococcus oralis dentisani"	"Camelo-Castillo et al., 2014"	1
"Streptococcus difficile"	"Streptococcus agalactiae"	"Eldar et al., 1995"	1
"Streptococcus difficilis"	"Streptococcus agalactiae"	"Corrig Eldar et al., 1995"	1
"Streptococcus durans"	"Enterococcus durans"	"Knight et al., 1984"	1
"Streptococcus faecalis"	"Enterococcus faecalis"	"Andrewes et al., 1906"	1
"Streptococcus faecium"	"Enterococcus faecium"	"Orla-Jensen, 1919"	1
"Streptococcus gallinarum"	"Enterococcus gallinarum"	"Bridge et al., 1982"	1
"Streptococcus garvieae"	"Lactococcus garvieae"	"Collins et al., 1984"	2
"Streptococcus hansenii"	"Blautia hansenii"	"Holdeman et al., 1974"	2
"Streptococcus intestinalis"	"Streptococcus alactolyticus"	"Robinson et al., 1988"	1
"Streptococcus lactis"	"Lactococcus lactis"	"Lohnis, 1909"	2
"Streptococcus lactis cremoris"	"Lactococcus lactis cremoris"	"Garvie et al., 1982"	
"Streptococcus lactis cremoris"	"Lactococcus cremoris"	"Garvie et al., 1982"	2
"Streptococcus lactis diacetilactis"	"Lactococcus lactis"	"Garvie et al., 1982"	2
"Streptococcus lactis lactis"	"Lactococcus lactis"	"Garvie et al., 1982"	2
"Streptococcus lactis lactis"	"Lactococcus lactis lactis"	"Garvie et al., 1982"	2
"Streptococcus macedonicus"	"Streptococcus gallolyticus macedonicus"	"Tsakalidou et al., 1998"	1
"Streptococcus morbillorum"	"Gemella morbillorum"	"Holdeman et al., 1974"	2
"Streptococcus oligofermentans"	"Streptococcus cristatus"	"Tong et al., 2003"	1
"Streptococcus parasanguis"	"Streptococcus parasanguinis"	"Whiley et al., 1990"	1
"Streptococcus parvulus"	"Lancefieldella parvula"	"Cato et al., 1991"	2
"Streptococcus pasteurianus"	"Streptococcus gallolyticus pasteurianus"	"Poyart et al., 2002"	1
"Streptococcus plantarum"	"Lactococcus plantarum"	"Collins et al., 1984"	2
"Streptococcus pleomorphus"	"Faecalicoccus pleomorphus"	"Barnes et al., 1979"	2
"Streptococcus raffinolactis"	"Lactococcus raffinolactis"	"Orla-Jensen et al., 1932"	2
"Streptococcus rattus"	"Streptococcus ratti"	"Coykendall, 1977"	1
"Streptococcus saccharolyticus"	"Enterococcus saccharolyticus"	"Farrow et al., 1985"	1
"Streptococcus sanguis"	"Streptococcus sanguinis"	"White et al., 1946"	1
"Streptococcus shiloi"	"Streptococcus iniae"	"Eldar et al., 1995"	1
"Streptococcus thermophilus"	"Streptococcus salivarius thermophilus"	"Orla-Jensen, 1919"	1
"Streptococcus tigurinus"	"Streptococcus oralis tigurinus"	"Zbinden et al., 2012"	1
"Streptococcus waius"	"Streptococcus gallolyticus macedonicus"	"Flint et al., 1999"	1
"Streptomyces aburaviensis"	"Kitasatospora aburaviensis"	"Nishimura et al., 1957"	2
"Streptomyces acrimycini"	"Streptomyces griseus"	"Pridham et al., 1958"	2
"Streptomyces albireticuli"	"Streptomyces eurocidicus"	"Witt et al., 1991"	2
"Streptomyces albolongus"	"Kitasatospora albolonga"	"Tsukiura et al., 1964"	2
"Streptomyces albosporeus"	"Streptomyces aurantiacus"	"Waksman et al., 1948"	2
"Streptomyces alboverticillatus"	"Streptomyces griseocarneus"	"Witt et al., 1991"	2
"Streptomyces albovinaceus"	"Streptomyces globisporus"	"Pridham et al., 1958"	2
"Streptomyces alboviridis"	"Streptomyces microflavus"	"Pridham et al., 1958"	2
"Streptomyces albus albus"	"Streptomyces albus"	"Nagatsu et al., 1962"	2
"Streptomyces albus pathocidicus"	"Streptomyces pathocidini"	"Nagatsu et al., 1962"	2
"Streptomyces almquistii"	"Streptomyces albus"	"Pridham et al., 1958"	2
"Streptomyces althioticus"	"Streptomyces griseorubens"	"Komaki, 2021"	2
"Streptomyces aminophilus"	"Streptomyces cacaoi"	"Foster, 1961"	2
"Streptomyces aomiensis"	"Yinghuangia aomiensis"	"Nagai et al., 2011"	2
"Streptomyces arabicus"	"Streptomyces vinaceus"	"Shibata et al., 1957"	2
"Streptomyces argenteolus"	"Streptomyces griseus"	"Tresner et al., 1961"	2
"Streptomyces asterosporus"	"Streptomyces calvus"	"Preobrazhenskaya, 1986"	2
"Streptomyces atroaurantiacus"	"Kitasatospora atroaurantiaca"	"Nakagaito et al., 1993"	2
"Streptomyces aureofaciens"	"Kitasatospora aureofaciens"	"Duggar et al., 2003"	2
"Streptomyces aureoversales"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces aureoversilis"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces avellaneus"	"Kitasatospora aureofaciens"	"Baldacci et al., 1966"	2
"Streptomyces avermectinius"	"Streptomyces avermitilis"	"Takahashi et al., 2002"	2
"Streptomyces azaticus"	"Kitasatospora azatica"	"Nakagaito et al., 1993"	2
"Streptomyces baarnensis"	"Streptomyces griseus"	"Pridham et al., 1958"	2
"Streptomyces baldaccii"	"Streptomyces hiroshimensis"	"Witt et al., 2018"	2
"Streptomyces baldacii"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces bambergiensis"	"Streptomyces prasinus"	"Wallhausser et al., 1966"	2
"Streptomyces biverticillatus"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces canchipurensis"	"Streptomyces muensis"	"Li et al., 2015"	2
"Streptomyces canescens"	"Streptomyces albidoflavus"	"Waksman, 1957"	2
"Streptomyces catbensis"	"Yinghuangia catbensis"	"Sakiyama et al., 2014"	2
"Streptomyces caviscabies"	"Streptomyces griseus"	"Goyer et al., 1996"	2
"Streptomyces cavourensis washingtonensis"	"Streptomyces cyaneofuscatus"	"Skarbek et al., 1978"	2
"Streptomyces champavatii"	"Streptomyces albidoflavus"	"Uma et al., 1959"	2
"Streptomyces chibaensis"	"Streptomyces corchorusii"	"Suzuki et al., 1958"	2
"Streptomyces chrysomallus"	"Streptomyces anulatus"	"Lindenbein, 1952"	2
"Streptomyces cinereorectus"	"Kitasatospora cinereorecta"	"Terekhova et al., 2004"	2
"Streptomyces cinnamonensis"	"Streptomyces virginiae"	"Okami, 1952"	2
"Streptomyces ciscaucasicus"	"Streptomyces canus"	"Sveshnikova et al., 2018"	2
"Streptomyces citreofluorescens"	"Streptomyces anulatus"	"Pridham et al., 2018"	2
"Streptomyces cochleatus"	"Kitasatospora cinereorecta"	"Nakagaito et al., 1993"	2
"Streptomyces coelescens"	"Streptomyces anthocyanicus"	"Pridham, 1970"	2
"Streptomyces coelicolor"	"Streptomyces albidoflavus"	"Waksman et al., 1948"	2
"Streptomyces colombiensis"	"Streptomyces netropsis"	"Pridham et al., 2004"	2
"Streptomyces costaricanus"	"Streptomyces murinus"	"Esnard et al., 1995"	2
"Streptomyces cyanoalbus"	"Streptomyces hirsutus"	"Pridham, 1970"	2
"Streptomyces cystargineus"	"Kitasatospora cystarginea"	"Nakagaito et al., 1993"	2
"Streptomyces diastaticus ardesiacus"	"Streptomyces ardesiacus"	"Pridham et al., 1958"	2
"Streptomyces diastaticus diastaticus"	"Streptomyces diastaticus"	"Pridham et al., 1958"	2
"Streptomyces distallicus"	"Streptomyces netropsis"	"Witt et al., 1991"	2
"Streptomyces ederensis"	"Streptomyces phaeochromogenes"	"Wallhausser et al., 1966"	2
"Streptomyces ehimensis"	"Streptomyces abikoensis"	"Witt et al., 1991"	2
"Streptomyces ekimensis"	"Streptomyces abikoensis"	"Witt et al., 1991"	2
"Streptomyces emeiensis"	"Streptomyces prasinopilosus"	"Sun et al., 2018"	2
"Streptomyces endus"	"Streptomyces hygroscopicus"	"Anderson et al., 1952"	2
"Streptomyces enissocaesilis"	"Streptomyces rochei"	"Sveshnikova, 1986"	2
"Streptomyces erumpens"	"Streptomyces griseus"	"Calot et al., 1963"	2
"Streptomyces erythraeus"	"Saccharopolyspora erythraea"	"Waksman et al., 1948"	2
"Streptomyces erythrogriseus"	"Streptomyces griseoincarnatus"	"Falcao de Morais et al., 1959"	2
"Streptomyces felleus"	"Streptomyces albidoflavus"	"Lindenbein, 1952"	2
"Streptomyces fervens"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces fervens melrosporus"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces fimicarius"	"Streptomyces griseus"	"Waksman et al., 1948"	2
"Streptomyces flavidofuscus"	"Nocardiopsis dassonvillei"	"Preobrazhenskaya, 1986"	2
"Streptomyces flavofuscus"	"Streptomyces griseus"	"Preobrazhenskaya, 1986"	2
"Streptomyces flavogriseus"	"Streptomyces flavovirens"	"Waksman et al., 1953"	2
"Streptomyces flavopersicus"	"Streptomyces netropsis"	"Witt et al., 1991"	2
"Streptomyces flavoviridis"	"Streptomyces pilosus"	"Preobrazhenskaya, 1986"	2
"Streptomyces flocculus"	"Streptomyces albus"	"Waksman et al., 1948"	2
"Streptomyces floridae"	"Streptomyces puniceus"	"Bartz et al., 2018"	2
"Streptomyces floridae"	"Streptomyces californicus"	"Nouioui et al., 2018"	2
"Streptomyces fluorescens"	"Streptomyces anulatus"	"Pridham et al., 2018"	2
"Streptomyces fulvissimus"	"Streptomyces microflavus"	"Madhaiyan et al., 2020"	2
"Streptomyces galilaeus"	"Streptomyces bobili"	"Ettlinger et al., 1958"	2
"Streptomyces geysiriensis"	"Streptomyces rochei"	"Wallhausser et al., 1966"	2
"Streptomyces ghanaensis"	"Streptomyces viridosporus"	"Wallhausser et al., 2018"	2
"Streptomyces gibsonii"	"Streptomyces albus"	"Waksman et al., 1948"	2
"Streptomyces globisporus caucasicus"	"Streptomyces albidoflavus"	"Pridham et al., 1958"	2
"Streptomyces globisporus flavofuscus"	"Streptomyces griseus"	"Pridham et al., 1958"	2
"Streptomyces glomeroaurantiacus"	"Streptomyces aurantiacus"	"Pridham, 1970"	2
"Streptomyces gougerotii"	"Streptomyces diastaticus"	"Waksman et al., 1948"	2
"Streptomyces graminofaciens"	"Streptomyces halstedii"	"Charney et al., 1953"	2
"Streptomyces griseinus"	"Streptomyces globisporus"	"Waksman, 1959"	2
"Streptomyces griseobrunneus"	"Streptomyces bacillaris"	"Waksman, 1961"	2
"Streptomyces griseolosporeus"	"Kitasatospora griseola"	"Wellington et al., 1992"	2
"Streptomyces griseolus"	"Streptomyces halstedii"	"Waksman et al., 2018"	2
"Streptomyces griseoplanus"	"Streptacidiphilus griseoplanus"	"Backus et al., 1957"	2
"Streptomyces griseoverticillatus"	"Streptomyces cinnamoneus"	"Witt et al., 1991"	2
"Streptomyces griseoviridus"	"Streptomyces griseoviridis"	"Anderson et al., 1956"	2
"Streptomyces griseus alpha"	"Streptomyces microflavus"	"Pridham, 1970"	2
"Streptomyces griseus cretosus"	"Streptomyces microflavus"	"Pridham, 1970"	2
"Streptomyces griseus solvifaciens"	"Streptomyces albidoflavus"	"Pridham, 1970"	2
"Streptomyces hachijoensis"	"Streptomyces cinnamoneus"	"Witt et al., 1991"	2
"Streptomyces herbaricolor"	"Kitasatospora herbaricolor"	"Kawato et al., 1959"	2
"Streptomyces humiferus"	"Streptomyces anthocyanicus"	"Goodfellow et al., 1986"	2
"Streptomyces hygroscopicus angustmyceticus"	"Streptomyces angustmyceticus"	"Yuntsen et al., 1956"	2
"Streptomyces hygroscopicus decoyicus"	"Streptomyces decoyicus"	"Vavra et al., 1959"	2
"Streptomyces hygroscopicus glebosus"	"Streptomyces platensis"	"Ohmori et al., 1962"	2
"Streptomyces indigoferus"	"Kitasatospora indigofera"	"Shinobu et al., 1960"	2
"Streptomyces kashimirensis"	"Streptomyces lilacinus"	"Witt et al., 1991"	2
"Streptomyces kashmirensis"	"Streptomyces lilacinus"	"Witt et al., 1991"	2
"Streptomyces kentuckensis"	"Streptomyces netropsis"	"Witt et al., 1991"	2
"Streptomyces kifunensis"	"Kitasatospora kifunensis"	"Nakagaito et al., 1993"	2
"Streptomyces kishiwadensis"	"Streptomyces mashuensis"	"Witt et al., 1991"	2
"Streptomyces laceyi"	"Streptomyces niveus"	"Manfio et al., 2003"	2
"Streptomyces ladakanum"	"Streptomyces mobaraensis"	"Witt et al., 1991"	2
"Streptomyces libani rufus"	"Streptomyces platensis"	"Baldacci et al., 1966"	2
"Streptomyces limosus"	"Streptomyces albidoflavus"	"Lindenbein, 1952"	2
"Streptomyces lipmanii"	"Streptomyces microflavus"	"Waksman et al., 1948"	2
"Streptomyces luridiscabiei"	"Streptomyces microflavus"	"Park et al., 2003"	2
"Streptomyces luteoverticillatus"	"Streptomyces abikoensis"	"Witt et al., 1991"	2
"Streptomyces luteus"	"Streptomyces mutabilis"	"Luo et al., 2018"	2
"Streptomyces matensis"	"Streptomyces griseorubens"	"Margalith et al., 1959"	2
"Streptomyces mediocidicus"	"Kitasatospora mediocidica"	"Wellington et al., 1992"	2
"Streptomyces mediolani"	"Streptomyces globisporus"	"Arcamone et al., 1969"	2
"Streptomyces melanogenes"	"Streptomyces noboritoensis"	"Sugawara et al., 1957"	2
"Streptomyces misakiensis"	"Kitasatospora misakiensis"	"Nakamura, 1961"	2
"Streptomyces morookaensis"	"Streptomyces morookaense"	"Witt et al., 1991"	2
"Streptomyces nigrifaciens"	"Streptomyces flavovirens"	"Waksman, 1961"	2
"Streptomyces odorifer"	"Streptomyces albidoflavus"	"Waksman, 1953"	2
"Streptomyces olivoreticuli"	"Streptomyces abikoensis"	"Witt et al., 1991"	2
"Streptomyces olivoviridis"	"Streptomyces atroolivaceus"	"Pridham, 1970"	2
"Streptomyces paracochleatus"	"Kitasatospora paracochleata"	"Nakagaito et al., 1993"	2
"Streptomyces parvisporogenes"	"Streptomyces abikoensis"	"Witt et al., 1991"	2
"Streptomyces parvullus"	"Streptomyces parvulus"	"Waksman et al., 1954"	2
"Streptomyces phaeogriseichromatogenes"	"Streptomyces murinus"	"Goodfellow et al., 2008"	2
"Streptomyces phaeopurpureus"	"Streptomyces griseorubiginosus"	"Shinobu et al., 2018"	2
"Streptomyces phaeoviridis"	"Streptomyces griseorubiginosus"	"Shinobu, 1957"	2
"Streptomyces phosalacineus"	"Kitasatospora phosalacinea"	"Wellington et al., 1992"	2
"Streptomyces plicatus"	"Streptomyces rochei"	"Pridham et al., 1958"	2
"Streptomyces praecox"	"Streptomyces anulatus"	"Waksman, 1953"	2
"Streptomyces psammoticus"	"Kitasatospora psammotica"	"Virgilio et al., 1960"	2
"Streptomyces purpeofuscus"	"Kitasatospora purpeofusca"	"Yamaguchi et al., 1955"	2
"Streptomyces purpurogeniscleroticus"	"Streptomyces purpurogeneiscleroticus"	"Pridham, 1970"	2
"Streptomyces rangoon"	"Streptomyces albus"	"Pridham et al., 1958"	2
"Streptomyces rangoonensis"	"Streptomyces albus"	"Pridham et al., 1958"	2
"Streptomyces rectiverticillatus"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces rhizosphaerius"	"Streptomyces rhizosphaericus"	"Sembiring et al., 2001"	2
"Streptomyces rimosus paromomycinus"	"Streptomyces paromomycinus"	"Coffey et al., 1959"	2
"Streptomyces rimosus rimosus"	"Streptomyces rimosus"	"Coffey et al., 1959"	2
"Streptomyces roseoalbus"	"Streptomyces rosealbus"	"Xu et al., 2012"	2
"Streptomyces roseodiastaticus"	"Streptomyces tricolor"	"Waksman, 1953"	2
"Streptomyces roseoflavus"	"Streptomyces fradiae"	"Arai, 1951"	2
"Streptomyces roseosporus"	"Streptomyces filamentosus"	"Falcao de Morais et al., 1961"	2
"Streptomyces roseoverticillatus"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces ruanii"	"Streptomyces nigrescens"	"Kumar et al., 2008"	2
"Streptomyces rubrum"	"Streptomyces rubrus"	"Khan et al., 2011"	2
"Streptomyces rutgersensis"	"Streptomyces diastaticus"	"Waksman et al., 1948"	2
"Streptomyces rutgersensis castelarense"	"Streptomyces castelarensis"	"Cercos, 1954"	2
"Streptomyces rutgersensis castelarensis"	"Streptomyces castelarensis"	"Corrig Cercos, 1954"	2
"Streptomyces rutgersensis rutgersensis"	"Streptomyces rutgersensis"	"Cercos, 1954"	
"Streptomyces rutgersensis rutgersensis"	"Streptomyces diastaticus"	"Pridham et al., 1958"	2
"Streptomyces salmonis"	"Streptomyces hiroshimensis"	"Witt et al., 1991"	2
"Streptomyces sampsonii"	"Streptomyces albidoflavus"	"Waksman, 1953"	2
"Streptomyces sapporonensis"	"Streptomyces cinnamoneus"	"Witt et al., 1991"	2
"Streptomyces scabies"	"Streptomyces scabiei"	"Lambert et al., 1989"	2
"Streptomyces scabrisporus"	"Embleya scabrispora"	"Ping et al., 2004"	2
"Streptomyces septatus"	"Streptomyces griseocarneus"	"Witt et al., 1991"	2
"Streptomyces seranimatus"	"Yinghuangia seranimata"	"Wang et al., 2012"	2
"Streptomyces serianimatus"	"Streptomyces seranimatus"	"Wang et al., 2012"	
"Streptomyces serianimatus"	"Yinghuangia seranimata"	"Wang et al., 2012"	2
"Streptomyces setae"	"Kitasatospora setae"	"Wellington et al., 1992"	2
"Streptomyces setonii"	"Streptomyces griseus"	"Waksman et al., 2012"	2
"Streptomyces spheroides"	"Streptomyces niveus"	"Wallick et al., 2018"	2
"Streptomyces spitsbergensis"	"Streptomyces hiroshimensis"	"Wieczorek et al., 1993"	2
"Streptomyces sporocinereus"	"Streptomyces hygroscopicus"	"Preobrazhenskaya et al., 2018"	2
"Streptomyces sporoclivatus"	"Streptomyces castelarensis"	"Preobrazhenskaya, 1986"	2
"Streptomyces sporoclivatus"	"Streptomyces antimycoticus"	"Preobrazhenskaya, 1986"	2
"Streptomyces syringium"	"Streptomyces netropsis"	"Witt et al., 1991"	2
"Streptomyces thermonitrificans"	"Streptomyces thermovulgaris"	"Desai et al., 1967"	2
"Streptomyces thermospinisporus"	"Streptomyces thermospinosisporus"	"Kim et al., 2002"	2
"Streptomyces variabilis"	"Streptomyces griseoincarnatus"	"Pridham et al., 1958"	2
"Streptomyces vinaceusdrappus"	"Streptomyces rochei"	"Pridham et al., 1958"	2
"Streptomyces violaceolatus"	"Streptomyces anthocyanicus"	"Pridham, 1970"	2
"Streptomyces violaceoniger"	"Streptomyces violaceusniger"	"Pridham et al., 1958"	2
"Streptomyces violatus"	"Streptomyces violaceus"	"Pridham, 1970"	2
"Streptomyces viridiflavus"	"Streptomyces olivoverticillatus"	"Witt et al., 1991"	2
"Streptomyces viridodiastaticus"	"Streptomyces albogriseolus"	"Pridham et al., 1958"	2
"Streptomyces viridoflavum"	"Streptomyces olivoverticillatus"	"Witt et al., 1991"	2
"Streptomyces vitaminophileus"	"Streptomyces vitaminophilus"	"Goodfellow et al., 1986"	2
"Streptomyces willmorei"	"Streptomyces microflavus"	"Waksman et al., 1948"	2
"Streptomyces xanthocidicus"	"Kitasatospora xanthocidica"	"Asahi et al., 1966"	2
"Streptosporangium albidum"	"Kutzneria albida"	"Furumai et al., 1968"	2
"Streptosporangium claviforme"	"Herbidospora cretacea"	"Petrolini et al., 1993"	2
"Streptosporangium corrugatum"	"Acrocarpospora corrugata"	"Williams et al., 1976"	2
"Streptosporangium indianense"	"Streptomyces indiaensis"	"Corrig Gupta, 1965"	2
"Streptosporangium indianensis"	"Streptomyces indiaensis"	"Gupta, 1965"	2
"Streptosporangium shengliensis"	"Streptosporangium shengliense"	"Zhang et al., 2016"	2
"Streptosporangium viridialbum"	"Sphaerisporangium viridialbum"	"Nonomura et al., 1960"	2
"Streptosporangium viridogriseum"	"Kutzneria viridogrisea"	"Okuda et al., 1966"	2
"Streptosporangium viridogriseum kofuense"	"Kutzneria kofuensis"	"Nonomura et al., 1969"	2
"Streptoverticillium abikoense"	"Streptomyces abikoensis"	"Locci et al., 1969"	2
"Streptoverticillium albireticuli"	"Streptomyces eurocidicus"	"Locci et al., 1969"	2
"Streptoverticillium alboverticillatum"	"Streptomyces griseocarneus"	"Locci et al., 1989"	2
"Streptoverticillium album"	"Streptomyces luteosporeus"	"Locci et al., 1969"	2
"Streptoverticillium ardum"	"Streptomyces ardus"	"Locci et al., 1969"	2
"Streptoverticillium aureoversales"	"Streptomyces hiroshimensis"	"Locci et al., 1969"	2
"Streptoverticillium aureoversile"	"Streptomyces hiroshimensis"	"Corrig Locci et al., 1969"	2
"Streptoverticillium baldaccii"	"Streptomyces hiroshimensis"	"Farina et al., 1966"	2
"Streptoverticillium biverticillatum"	"Streptomyces hiroshimensis"	"Farina et al., 1966"	2
"Streptoverticillium blastmyceticum"	"Streptomyces blastmyceticus"	"Locci et al., 1969"	2
"Streptoverticillium cinnamoneum"	"Streptomyces cinnamoneus"	"Baldacci et al., 1966"	2
"Streptoverticillium cinnamoneum albosporum"	"Streptomyces cinnamoneus albosporus"	"Thirumalachar, 1968"	2
"Streptoverticillium cinnamoneum cinnamoneum"	"Streptomyces cinnamoneus"	"Thirumalachar, 1968"	2
"Streptoverticillium cinnamoneum cinnamoneum"	"Streptomyces cinnamoneus cinnamoneus"	"Thirumalachar, 1968"	2
"Streptoverticillium distallicum"	"Streptomyces netropsis"	"Locci et al., 1969"	2
"Streptoverticillium ehimense"	"Streptomyces abikoensis"	"Locci et al., 1969"	2
"Streptoverticillium eurocidicum"	"Streptomyces eurocidicus"	"Locci et al., 1969"	2
"Streptoverticillium fervens"	"Streptomyces hiroshimensis"	"Locci et al., 1969"	2
"Streptoverticillium fervens fervens"	"Streptomyces hiroshimensis"	"Mason et al., 1965"	2
"Streptoverticillium fervens fervens"	"Streptomyces fervens fervens"	"Mason et al., 1965"	2
"Streptoverticillium fervens melrosporus"	"Streptomyces hiroshimensis"	"Mason et al., 1965"	2
"Streptoverticillium flavopersicum"	"Streptomyces netropsis"	"Locci et al., 1969"	2
"Streptoverticillium griseocarneum"	"Streptomyces griseocarneus"	"Baldacci et al., 1966"	2
"Streptoverticillium griseoverticillatum"	"Streptomyces cinnamoneus"	"Locci et al., 1969"	2
"Streptoverticillium hachijoense"	"Streptomyces cinnamoneus"	"Locci et al., 1969"	2
"Streptoverticillium hiroshimense"	"Streptomyces hiroshimensis"	"Farina et al., 1966"	2
"Streptoverticillium kashmirense"	"Streptomyces lilacinus"	"Locci et al., 1969"	2
"Streptoverticillium kashmirensis"	"Streptomyces lilacinus"	"Locci et al., 1969"	2
"Streptoverticillium kentuckense"	"Streptomyces netropsis"	"Baldacci et al., 1966"	2
"Streptoverticillium kishiwadense"	"Streptomyces mashuensis"	"Locci et al., 1969"	2
"Streptoverticillium ladakanum"	"Streptomyces mobaraensis"	"Hanka et al., 1966"	2
"Streptoverticillium ladakanus"	"Streptomyces mobaraensis"	"Hanka et al., 1966"	2
"Streptoverticillium lavenduligriseum"	"Streptomyces lavenduligriseus"	"Locci et al., 1969"	2
"Streptoverticillium lilacinum"	"Streptomyces lilacinus"	"Locci et al., 1969"	2
"Streptoverticillium luteoverticillatum"	"Streptomyces abikoensis"	"Locci et al., 1969"	2
"Streptoverticillium mashuense"	"Streptomyces mashuensis"	"Locci et al., 1969"	2
"Streptoverticillium mobaraense"	"Streptomyces mobaraensis"	"Locci et al., 1969"	2
"Streptoverticillium morookaense"	"Streptomyces morookaense"	"Locci et al., 1989"	2
"Streptoverticillium netropsis"	"Streptomyces netropsis"	"Baldacci et al., 1966"	2
"Streptoverticillium olivomycini"	"Streptomyces olivomycini"	"Gauze et al., 1986"	2
"Streptoverticillium olivoreticuli"	"Streptomyces abikoensis"	"Baldacci et al., 1966"	2
"Streptoverticillium olivoreticuli cellulophilum"	"Streptomyces abikoensis"	"Locci et al., 1989"	2
"Streptoverticillium olivoreticulum"	"Streptomyces abikoensis"	"Baldacci et al., 1966"	2
"Streptoverticillium olivoreticulum cellulophilum"	"Streptomyces abikoensis"	"Locci et al., 1989"	2
"Streptoverticillium olivoverticillatum"	"Streptomyces olivoverticillatus"	"Baldacci et al., 1966"	2
"Streptoverticillium orinoci"	"Streptomyces orinoci"	"Cassinelli et al., 1967"	2
"Streptoverticillium parvisporogenes"	"Streptomyces abikoensis"	"Corrig Locci et al., 1969"	2
"Streptoverticillium parvisporogenum"	"Streptomyces abikoensis"	"Locci et al., 1969"	2
"Streptoverticillium rectiverticillatum"	"Streptomyces hiroshimensis"	"Locci et al., 1969"	2
"Streptoverticillium roseoverticillatum"	"Streptomyces hiroshimensis"	"Farina et al., 1966"	2
"Streptoverticillium salmonis"	"Streptomyces hiroshimensis"	"Locci et al., 1969"	2
"Streptoverticillium sapporonense"	"Streptomyces cinnamoneus"	"Locci et al., 1989"	2
"Streptoverticillium septatum"	"Streptomyces griseocarneus"	"Locci et al., 1969"	2
"Streptoverticillium syringium"	"Streptomyces netropsis"	"Konev, 1986"	2
"Streptoverticillium thioluteum"	"Streptomyces thioluteus"	"Baldacci et al., 1966"	2
"Streptoverticillium verticillum tsukushiense"	"Streptoverticillium verticillium tsukushiense"	"Locci et al., 1989"	2
"Streptoverticillium viridoflavum"	"Streptomyces olivoverticillatus"	"Locci et al., 1989"	2
"Striatella fenestrata"	"Tabellaria fenestrata"	"Kuntze"	3
"Striatella flocculosa"	"Tabellaria flocculosa"	"Kuntze"	3
"Strobilidium conicum"	"Rimostrombidium conicum"	"Kahl, 1932"	3
"Strobilidium humile"	"Rimostrombidium humile"	"Penard, 1922"	3
"Strobilidium hyalinum"	"Rimostrombidium hyalinum"	"Mirabdullayev, 1985"	3
"Strobilidium neptuni"	"Pelagostrobilidium neptuni"	"Montagnes et al., 1994"	3
"Strobilidium rapulum"	"Strombidium rapulum"	"Yagiu, 1933"	3
"Strobilidium velox"	"Rimostrombidium velox"	"Faure-Fremiet, 1924"	3
"Strobilidium veniliae"	"Rimostrombidium veniliae"	"Montages et al., 1994"	3
"Strombidinopsis minima"	"Parastrombidinopsis minima"	"Lynn et al., 1991"	3
"Strombidion caudatum"	"Strobilidium caudatum"	"Fromentel, 1876"	3
"Strombidion sulcatum"	"Rimostrombidium sulcatum"	"Claparede et al., 1859"	3
"Strombidium cinctum"	"Spirostrombidium cinctum"	"Kahl, 1932"	3
"Strombidium fallax"	"Pelagostrombidium fallax"	"Zacharias, 1896"	3
"Strombidium mirabile"	"Pelagostrombidium mirabile"	"Penard, 1916"	3
"Strombidium montagnesi"	"Opisthostrombidium montagnesi"	"Xu et al., 2006"	3
"Strombidium mucotectum"	"Strobilidium mucotectum"	"Busch, 1923"	3
"Strombidium oblongum"	"Spirostrombidium oblongum"	"Entz, 1884"	3
"Strombidium pelagicum"	"Limnostrombidium pelagicum"	"Krainer, 1991"	3
"Strombidium pseudocinctum"	"Spirostrombidium pseudocinctum"	"Wang, 1934"	3
"Strombidium pulchrum"	"Spirostrombidium pulchrum"	"Leegaard, 1915"	3
"Strombidium rhyticollare"	"Parallelostrombidium rhyticollare"	"Corliss et al., 1986"	3
"Strombidium sauerbreyae"	"Spirostrombidium sauerbreyae"	"Kahl, 1932"	3
"Strombidium schizostomum"	"Spirostrombidium schizostomum"	"Kahl, 1932"	3
