"code"	"mo"
"7141"	"F_SCCHR_CRVS"
"7150"	"F_MLSSZ"
"7151"	"F_MLSSZ_FRFR"
"7300"	"F_ASPRG"
"7301"	"F_ASPRG_FLAVS"
"7302"	"F_ASPRG_MGTS"
"7303"	"F_ASPRG_NDLN"
"7304"	"F_ASPRG_NIGR"
"7305"	"F_ASPRG_TERRS"
"7310"	"B_ALLPSD_JPNC"
"7311"	"B_TCRBM_MRNS"
"7320"	"F_TRCHP"
"7321"	"F_TRCHP_RBRM"
"7322"	"F_TRCHP_MNTG"
"7323"	"F_TRCHP_TNSR"
"7330"	"F_MCRSP"
"7331"	"F_MCRSP_CANS"
"7332"	"F_MCRSP_GYPS"
"7340"	"F_CLDSP"
"7350"	"F_FONSC"
"7351"	"F_FONSC_PDRS"
"7360"	"F_ALTRN"
"7362"	"F_ALTRN_RNTA"
"7400"	"B_EPBCT_ULVA"
"7401"	"B_EFFSB_LACS"
"7410"	"B_STRPT_THRM"
"7411"	"B_SPRLC_SHRC"
"7420"	"F_FUSRM"
"7421"	"P_NCLSP_SLMN"
"7430"	"F_ABSID"
"7431"	"F_ABSID"
"7500"	"F_MUCOR"
"7510"	"F_RHZMC"
"7511"	"F_RHZMC_PSLL"
"7520"	"F_RHZPS"
"7521"	"F_RHZPS"
"7530"	"B_CRDDS"
"7531"	"B_CTRMN_SLNR"
"7540"	"F_HSTPL"
"7541"	"F_HSTPL_CPSL"
"7550"	"F_CSPRM"
"7551"	"B_BLSTM_DLFL"
"7560"	"B_PSYCH_CCCD"
"7561"	"B_PHYTB"
"788"	"B_ESCHR_COLI"
"8000"	"B_MYCPLS"
"8001"	"B_MSMDS_PNMN"
"8100"	"B_URPLS"
"8101"	"B_URPLS_URLY"
"8200"	"B_CHLMY"
"8201"	"B_CHLMY_TRCH"
"8202"	"B_CHLMY_PSTT"
"8203"	"B_CHLMY_PNMN"
"8204"	"B_CHLMY_PCRM"
"8210"	"B_CHLMY"
"8300"	"B_TRPNM"
"8301"	"B_TRPNM_PLLD"
"8400"	"B_LPTSP"
"8401"	"B_LPTSP_INTR"
"8402"	"B_LPTTR_BCCL"
"8500"	"B_BORRL"
"8501"	"B_BORRL_BRGD"
"8600"	"B_RTTSA"
"9000"	"P_ENTMB"
"9001"	"P_ENTMB_HSTL"
"9010"	"B_CHRYS_PHSP"
"9011"	"B_CRNGM_PHRN"
"9020"	"B_CSMNS_LUTL"
"9021"	"B_CLDCL_SCCH"
"9030"	"B_ISSPH"
"9040"	"P_GIARD"
"9041"	"P_GIARD_DDNL"
"9050"	"B_BLNDS_PCFC"
"9051"	"B_BFDBC_COLB"
"9070"	"P_THMNS"
"9071"	"P_THMNS_VAG"
"9080"	"C_TXPL"
"9081"	"C_TXPL_GOND"
"9801"	"B_ACHLP"
"9802"	"B_ACDMNC"
"9803"	"B_ACDVR"
"9805"	"B_AMDRA"
"9806"	"B_AFIPI"
"9807"	"B_ALLCC"
"9808"	"B_ANRBS"
"9809"	"B_ANRRH"
"9810"	"B_ARCNB_HMLY"
"9811"	"B_ARTHR"
"9812"	"B_ATPBM"
"9814"	"B_BRTNL"
"9815"	"B_BRGYL"
"9816"	"B_BLPHL"
"9817"	"B_BSPRA"
"9819"	"B_BCTRM"
